Vendor-ID#,Vendor,Company,Flavor Name,ATF-ID#
V-0340,Bull City,CAP,Sugar Cookie,ATF-00211
V-0341,DIY eJuice,CAP,Sugar Cookie,ATF-00211
V-0342,Nomz,CAP,Sugar Cookie,ATF-00211
V-0343,Bull City,CAP,Sugar Cookie V2,ATF-00212
V-0344,DIY eJuice,CAP,Sugar Cookie V2,ATF-00212
V-0345,Nomz,CAP,Sugar Cookie V2,ATF-00212
V-0346,Nomz,CAP,Sugary Cereal,ATF-00213
V-0347,Bull City,CAP,Super Sweet,ATF-00214
V-0348,DIY eJuice,CAP,Super Sweet,ATF-00214
V-0349,Nomz,CAP,Super Sweet,ATF-00214
V-0350,DIY eJuice,CAP,Sweet Blend,ATF-00215
V-0351,Bull City,CAP,Sweet Candy,ATF-00216
V-0352,DIY eJuice,CAP,Sweet Candy,ATF-00216
V-0353,Bull City,CAP,Sweet Cream,ATF-00217
V-0354,DIY eJuice,CAP,Sweet Cream,ATF-00217
V-0355,Nomz,CAP,Sweet Cream,ATF-00217
V-0356,Bull City,CAP,Sweet Currant,ATF-00218
V-0357,DIY eJuice,CAP,Sweet Currant,ATF-00218
V-0358,Nomz,CAP,Sweet Currant,ATF-00218
V-0359,Bull City,CAP,Sweet Guava,ATF-00219
V-0360,DIY eJuice,CAP,Sweet Guava,ATF-00219
V-0361,Nomz,CAP,Sweet Guava,ATF-00219
V-0362,DIY eJuice,CAP,Sweet Guava V2,ATF-00000
V-0363,Bull City,CAP,Sweet Lychee,ATF-00220
V-0364,DIY eJuice,CAP,Sweet Lychee,ATF-00220
V-0365,Nomz,CAP,Sweet Lychee,ATF-00220
V-0366,Bull City,CAP,Sweet Mango,ATF-00221
V-0367,DIY eJuice,CAP,Sweet Mango,ATF-00221
V-0368,Nomz,CAP,Sweet Mango,ATF-00221
V-0369,DIY eJuice,CAP,Sweet Mango V2,ATF-00222
V-0370,Bull City,CAP,Sweet Strawberry,ATF-00223
V-0371,DIY eJuice,CAP,Sweet Strawberry,ATF-00223
V-0372,Nomz,CAP,Sweet Strawberry,ATF-00223
V-0373,Nomz,CAP,Sweet Strawberry RF,ATF-00224
V-0374,Bull City,CAP,Sweet Tangerine,ATF-00225
V-0375,DIY eJuice,CAP,Sweet Tangerine,ATF-00225
V-0376,Nomz,CAP,Sweet Tangerine,ATF-00225
V-0377,Bull City,CAP,Sweet Watermelon,ATF-00228
V-0378,DIY eJuice,CAP,Sweet Watermelon,ATF-00228
V-0379,Nomz,CAP,Sweet Watermelon,ATF-00228
V-0380,DIY eJuice,CAP,Sweet Watermelon V2,ATF-00000
V-0381,DIY eJuice,CAP,Tangy Orange,ATF-00229
V-0382,DIY eJuice,CAP,Tart Cherry,ATF-00230
V-0383,Bull City,CAP,Toasted Almond,ATF-00232
V-0384,DIY eJuice,CAP,Toasted Almond,ATF-00232
V-0385,DIY eJuice,CAP,Tropical Fruit Punch,ATF-00233
V-0386,Bull City,CAP,Tropical Mango,ATF-00234
V-0387,Nomz,CAP,Tropical Mango,ATF-00234
V-0388,Bull City,CAP,Vanilla Bean Ice Cream,ATF-00236
V-0389,DIY eJuice,CAP,Vanilla Bean Ice Cream,ATF-00236
V-0390,Nomz,CAP,Vanilla Bean Ice Cream,ATF-00236
V-0391,Bull City,CAP,Vanilla Cupcake,ATF-00237
V-0392,DIY eJuice,CAP,Vanilla Cupcake,ATF-00237
V-0393,Nomz,CAP,Vanilla Cupcake,ATF-00237
V-0394,DIY eJuice,CAP,Vanilla Cupcake V2,ATF-00238
V-0395,Bull City,CAP,Vanilla Custard,ATF-00239
V-0396,Nomz,CAP,Vanilla Custard,ATF-00239
V-0397,DIY eJuice,CAP,Vanilla Custard V1,ATF-00239
V-0398,Bull City,CAP,Vanilla Custard V2,ATF-00240
V-0399,DIY eJuice,CAP,Vanilla Custard V2,ATF-00240
V-0400,Nomz,CAP,Vanilla Custard V2,ATF-00240
V-0401,Bull City,CAP,Vanilla Milk Froth,ATF-00241
V-0402,Nomz,CAP,Vanilla Milk Froth,ATF-00241
V-0403,Bull City,CAP,Vanilla Whipped Cream,ATF-00242
V-0404,DIY eJuice,CAP,Vanilla Whipped Cream,ATF-00242
V-0405,Nomz,CAP,Vanilla Whipped Cream,ATF-00242
V-0406,DIY eJuice,CAP,Vanilla Whipped Cream V2,ATF-00243
V-0407,Nomz,CAP,Wafer Crunch,ATF-00244
V-0408,DIY eJuice,CAP,Waffle,ATF-00245
V-0409,DIY eJuice,CAP,Whipped Marshmallow,ATF-00246
V-0410,Bull City,CAP,Wild Cherry W/Stevia,ATF-00247
V-0411,DIY eJuice,CAP,Wild Cherry w/Stevia,ATF-00247
V-0412,Nomz,CAP,Wild Raspberry,ATF-00248
V-0413,Bull City,CAP,Yellow Cake,ATF-00249
V-0414,DIY eJuice,CAP,Yellow Cake,ATF-00249
V-0415,Bull City,CAP,Yellow Peach,ATF-00250
V-0416,DIY eJuice,CAP,Yellow Peach,ATF-00250
V-0417,Nomz,CAP,Yellow Peach,ATF-00250
V-0418,Nomz,CNV,Lemon,ATF-00266
V-0419,Nomz,CNV,Lemon Cream Wafer,ATF-00267
V-0420,Nomz,CNV,Passion Fruit,ATF-00271
V-0421,Nomz,CNV,Vanilla Pudding,ATF-00280
V-0422,Bull City,CSL,27 Bears,ATF-00013
V-0423,Nomz,CSL,27 Bears,ATF-00013
V-0424,Bull City,CSL,27 Fish,ATF-00014
V-0425,Nomz,CSL,27 Fish,ATF-00014
V-0426,Bull City,CSL,Apple Snacks,ATF-00021
V-0427,Nomz,CSL,Apple Snacks,ATF-00021
V-0428,Nomz,CSL,Blueberry Extra,ATF-00036
V-0429,Bull City,CSL,Candied Watermelon,ATF-00049
V-0430,Bull City,CSL,Cinnamon Sugar,ATF-00070
V-0431,Nomz,CSL,Cinnamon Sugar,ATF-00070
V-0432,Bull City,CSL,Fruit Circles,ATF-00107
V-0433,Bull City,CSL,Meringue,ATF-00158
V-0434,Bull City,CSL,Rainbow Candy,ATF-00190
V-0435,Bull City,CSL,Whipped Marshmallow,ATF-00246
V-0436,Nomz,DIYFS,Holy Holy Grail RY4 v2 Concentrate,ATF-00478
V-0437,Nomz,DIYFS,Holy Vanilla v2 Concentrate,ATF-00482
V-0438,DIY eJuice,DV,Absinthe,ATF-00657
V-0439,Nomz,DV,Absinthe,ATF-00657
V-0440,DIY eJuice,DV,Absinthe Clear,ATF-00657
V-0441,DIY eJuice,DV,American Red,ATF-00660
V-0442,Nomz,DV,Aniseed,ATF-00661
V-0443,DIY eJuice,DV,Apple Strudel,ATF-00662
V-0444,DIY eJuice,DV,Banoffee,ATF-00666
V-0445,DIY eJuice,DV,Blackberry Crumble,ATF-00671
V-0446,DIY eJuice,DV,Blue Limey,ATF-00674
V-0447,DIY eJuice,DV,Brown Sugar,ATF-00678
V-0448,DIY eJuice,DV,Bubblegum,ATF-00679
